transaction_id,customerID,transaction_date,service_type,amount
1,4795-UXVCJ,2022-05-23,Add-on,2890.73
2,7450-NWRTR,2023-02-23,Streaming,1775.26
3,8044-BGWPI,2023-07-02,Internet,1777.42
4,5982-PSMKW,2023-05-15,Streaming,2841.95
5,0684-AOSIH,2022-06-16,Add-on,2802.18
6,6032-IGALN,2022-09-17,Streaming,816.84
7,6408-WHTEF,2022-07-11,Internet,2807.08
8,3278-FSIXX,2022-07-21,Add-on,2262.54
9,9076-AXYIK,2022-07-04,Add-on,252.92
10,6386-SZZKH,2022-06-07,Add-on,871.56
11,8652-YHIYU,2023-09-14,Phone,1356.34
12,8215-NGSPE,2022-04-09,Add-on,1831.9
13,3296-SILRA,2022-08-29,Phone,2163.72
14,3739-YBWAB,2023-05-06,Internet,788.59
15,8908-SLFCJ,2022-07-21,Add-on,2542.76
16,1936-CZAKF,2023-09-26,Add-on,2568.0
17,2876-GZYZC,2023-05-24,Add-on,1978.0
18,9365-SRSZE,2023-09-21,Internet,2779.06
19,3137-NYQQI,2022-04-06,Phone,2476.35
20,7318-EIVKO,2023-05-05,Streaming,820.55
21,6847-KJLTS,2023-08-02,Internet,2436.3
22,3648-GZPHF,2022-08-06,Internet,2868.97
23,8314-DPQHL,2023-06-11,Internet,585.3
24,8053-WWDRO,2022-09-30,Phone,2940.35
25,0899-WZRSD,2022-08-07,Phone,269.98
26,1422-DGUBX,2023-10-21,Phone,1662.07
27,4660-IRIBM,2022-11-28,Phone,2366.9
28,4804-NCPET,2023-03-29,Phone,2413.23
29,7526-BEZQB,2022-06-01,Add-on,2257.08
30,6211-WWLTF,2022-12-13,Streaming,1682.18
31,2974-GGUXS,2023-02-18,Streaming,2022.7
32,0902-XKXPN,2023-06-11,Phone,2159.81
33,2115-BFTIW,2023-03-07,Phone,1584.71
34,9399-APLBT,2023-01-14,Add-on,1867.92
35,4367-NUYAO,2023-03-04,Phone,2569.83
36,5380-XPJNZ,2022-03-25,Add-on,1076.06
37,8543-MSDMF,2022-07-11,Add-on,1664.98
38,8295-FHIVV,2022-02-10,Internet,223.74
39,2834-JRTUA,2022-11-05,Internet,2124.82
40,8966-KZXXA,2023-01-13,Phone,747.08
41,8017-UVSZU,2022-05-16,Add-on,1546.8
42,2371-JUNGC,2022-04-16,Phone,788.57
43,0516-QREYC,2023-06-03,Internet,265.89
44,8455-HIRAQ,2023-06-26,Internet,1553.02
45,8563-OYMQY,2022-05-06,Internet,1389.53
46,2612-PHGOX,2022-12-23,Internet,1390.42
